Timestamp,User Question,Bot Answer,Frequency Count,BotAnsClean,Understood_Question
3/9/2025,ต้องการถามเกี่ยวกับทหารต่อ,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
4/2/2025,ต้องการถามเกี่ยวกับทหารต่อ,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
4/7/2025,ถ้าจะใช้สิทธิประกันอุบัติเหตุของมหาวิทยาลัย สามารถใช้ได้กับโรงพยาบาลอะไรได้บ้าง?,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
4/10/2025,ถ้าจะใช้สิทธิประกันอุบัติเหตุของมหาวิทยาลัย สามารถใช้ได้กับโรงพยาบาลอะไรได้บ้าง?,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
3/19/2025,ทะเบียน,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/27/2025,ทะเบียน,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
4/19/2025,ทะเล,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/27/2025,ทะเล,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/26/2025,ทำเรื่องที่ไหน,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
4/28/2025,ทำเรื่องที่ไหน,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/24/2025,เทียนหอม,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/26/2025,ปลาย,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/19/2025,ปากกาไฮไลท์,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/24/2025,ปี10,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/17/2025,แป๊ปซี่,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/28/2025,โป๊ะปัง,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
4/15/2025,ละมุน,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
4/28/2025,จึ้ง,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/19/2025,วิบวับ,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
4/21/2025,ปุ๊กปิ๊ก,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/18/2025,ฟรุ้งฟริ้ง,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/31/2025,งุ้งงิ้ง,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/24/2025,บับเบิ้ล,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
5/4/2025,ตุยเย่,ขอโทษค่ะ ฉันยังไม่ค่อยเข้าใจสิ่งที่คุณหมายถึง ลองพิมพ์ใหม่อีกครั้งได้ไหมคะ,1,ไม่เข้าใจข้อคำถาม,0
